[{'total_trials': 10000, 'erasure_rate': 0.3, 'num_true_decoder_failures': 57, 'num_non_trivial_logical_errors': 127, 'num_total_failures': 184, 'num_total_successes_peeling_M0': 7506, 'num_total_successes_peeling_M1': 9110, 'num_total_successes_peeling_M2': 9149, 'num_total_successes_peeling_M2_cluster': 9816, 'failure_rate_peeling_M0': 0.2494, 'failure_rate_peeling_M1': 0.089, 'failure_rate_peeling_M2': 0.0851, 'failure_rate_peeling_M2_cluster': 0.0184, 'ge_backend': 'sparse', 'ge_reorder': None, 'total_decode_time': 890.6622794759423, 'mean_decode_time': 0.08906622794759424, 'total_ge_time': 0.03868887600765447, 'total_reorder_time': 0.0, 'num_ge_calls': 831, 'mean_ge_time_per_call': 4.6557010839536064e-05},
{'total_trials': 10000, 'erasure_rate': 0.31, 'num_true_decoder_failures': 104, 'num_non_trivial_logical_errors': 183, 'num_total_failures': 287, 'num_total_successes_peeling_M0': 7070, 'num_total_successes_peeling_M1': 8871, 'num_total_successes_peeling_M2': 8915, 'num_total_successes_peeling_M2_cluster': 9713, 'failure_rate_peeling_M0': 0.293, 'failure_rate_peeling_M1': 0.1129, 'failure_rate_peeling_M2': 0.1085, 'failure_rate_peeling_M2_cluster': 0.0287, 'ge_backend': 'sparse', 'ge_reorder': None, 'total_decode_time': 911.7063981275896, 'mean_decode_time': 0.09117063981275897, 'total_ge_time': 0.0468176288959512, 'total_reorder_time': 0.0, 'num_ge_calls': 1034, 'mean_ge_time_per_call': 4.5278171079256484e-05},
{'total_trials': 10000, 'erasure_rate': 0.32, 'num_true_decoder_failures': 139, 'num_non_trivial_logical_errors': 212, 'num_total_failures': 351, 'num_total_successes_peeling_M0': 6367, 'num_total_successes_peeling_M1': 8474, 'num_total_successes_peeling_M2': 8528, 'num_total_successes_peeling_M2_cluster': 9649, 'failure_rate_peeling_M0': 0.3633, 'failure_rate_peeling_M1': 0.1526, 'failure_rate_peeling_M2': 0.1472, 'failure_rate_peeling_M2_cluster': 0.0351, 'ge_backend': 'sparse', 'ge_reorder': None, 'total_decode_time': 932.7604487777717, 'mean_decode_time': 0.09327604487777717, 'total_ge_time': 0.06696321401250316, 'total_reorder_time': 0.0, 'num_ge_calls': 1436, 'mean_ge_time_per_call': 4.6631764632662364e-05},
{'total_trials': 10000, 'erasure_rate': 0.33, 'num_true_decoder_failures': 244, 'num_non_trivial_logical_errors': 254, 'num_total_failures': 498, 'num_total_successes_peeling_M0': 5704, 'num_total_successes_peeling_M1': 8050, 'num_total_successes_peeling_M2': 8130, 'num_total_successes_peeling_M2_cluster': 9502, 'failure_rate_peeling_M0': 0.4296, 'failure_rate_peeling_M1': 0.195, 'failure_rate_peeling_M2': 0.187, 'failure_rate_peeling_M2_cluster': 0.0498, 'ge_backend': 'sparse', 'ge_reorder': None, 'total_decode_time': 956.1330404073451, 'mean_decode_time': 0.09561330404073451, 'total_ge_time': 0.0871626468579052, 'total_reorder_time': 0.0, 'num_ge_calls': 1805, 'mean_ge_time_per_call': 4.828955504593086e-05},
{'total_trials': 10000, 'erasure_rate': 0.34, 'num_true_decoder_failures': 378, 'num_non_trivial_logical_errors': 350, 'num_total_failures': 728, 'num_total_successes_peeling_M0': 4890, 'num_total_successes_peeling_M1': 7447, 'num_total_successes_peeling_M2': 7556, 'num_total_successes_peeling_M2_cluster': 9272, 'failure_rate_peeling_M0': 0.511, 'failure_rate_peeling_M1': 0.2553, 'failure_rate_peeling_M2': 0.2444, 'failure_rate_peeling_M2_cluster': 0.0728, 'ge_backend': 'sparse', 'ge_reorder': None, 'total_decode_time': 975.4826099666316, 'mean_decode_time': 0.09754826099666315, 'total_ge_time': 0.11290161389479181, 'total_reorder_time': 0.0, 'num_ge_calls': 2352, 'mean_ge_time_per_call': 4.8002386860030534e-05},
{'total_trials': 10000, 'erasure_rate': 0.35000000000000003, 'num_true_decoder_failures': 580, 'num_non_trivial_logical_errors': 369, 'num_total_failures': 949, 'num_total_successes_peeling_M0': 4086, 'num_total_successes_peeling_M1': 6819, 'num_total_successes_peeling_M2': 6952, 'num_total_successes_peeling_M2_cluster': 9051, 'failure_rate_peeling_M0': 0.5914, 'failure_rate_peeling_M1': 0.3181, 'failure_rate_peeling_M2': 0.3048, 'failure_rate_peeling_M2_cluster': 0.0949, 'ge_backend': 'sparse', 'ge_reorder': None, 'total_decode_time': 996.7777213905792, 'mean_decode_time': 0.09967777213905793, 'total_ge_time': 0.14242547086905688, 'total_reorder_time': 0.0, 'num_ge_calls': 2886, 'mean_ge_time_per_call': 4.935047500660322e-05},
{'total_trials': 10000, 'erasure_rate': 0.36000000000000004, 'num_true_decoder_failures': 910, 'num_non_trivial_logical_errors': 399, 'num_total_failures': 1309, 'num_total_successes_peeling_M0': 3139, 'num_total_successes_peeling_M1': 5952, 'num_total_successes_peeling_M2': 6109, 'num_total_successes_peeling_M2_cluster': 8691, 'failure_rate_peeling_M0': 0.6861, 'failure_rate_peeling_M1': 0.4048, 'failure_rate_peeling_M2': 0.3891, 'failure_rate_peeling_M2_cluster': 0.1309, 'ge_backend': 'sparse', 'ge_reorder': None, 'total_decode_time': 1018.7324636743288, 'mean_decode_time': 0.10187324636743288, 'total_ge_time': 0.1775904373062076, 'total_reorder_time': 0.0, 'num_ge_calls': 3604, 'mean_ge_time_per_call': 4.9275926000612545e-05},
{'total_trials': 10000, 'erasure_rate': 0.37000000000000005, 'num_true_decoder_failures': 1325, 'num_non_trivial_logical_errors': 481, 'num_total_failures': 1806, 'num_total_successes_peeling_M0': 2480, 'num_total_successes_peeling_M1': 5186, 'num_total_successes_peeling_M2': 5345, 'num_total_successes_peeling_M2_cluster': 8194, 'failure_rate_peeling_M0': 0.752, 'failure_rate_peeling_M1': 0.4814, 'failure_rate_peeling_M2': 0.4655, 'failure_rate_peeling_M2_cluster': 0.1806, 'ge_backend': 'sparse', 'ge_reorder': None, 'total_decode_time': 1035.9386226998176, 'mean_decode_time': 0.10359386226998177, 'total_ge_time': 0.21373555906757247, 'total_reorder_time': 0.0, 'num_ge_calls': 4305, 'mean_ge_time_per_call': 4.964821348840243e-05},
{'total_trials': 10000, 'erasure_rate': 0.38000000000000006, 'num_true_decoder_failures': 2203, 'num_non_trivial_logical_errors': 460, 'num_total_failures': 2663, 'num_total_successes_peeling_M0': 1738, 'num_total_successes_peeling_M1': 4059, 'num_total_successes_peeling_M2': 4245, 'num_total_successes_peeling_M2_cluster': 7337, 'failure_rate_peeling_M0': 0.8262, 'failure_rate_peeling_M1': 0.5941, 'failure_rate_peeling_M2': 0.5755, 'failure_rate_peeling_M2_cluster': 0.2663, 'ge_backend': 'sparse', 'ge_reorder': None, 'total_decode_time': 1041.4050702463137, 'mean_decode_time': 0.10414050702463137, 'total_ge_time': 0.24882606870960444, 'total_reorder_time': 0.0, 'num_ge_calls': 4897, 'mean_ge_time_per_call': 5.0811939699735436e-05},
{'total_trials': 10000, 'erasure_rate': 0.39000000000000007, 'num_true_decoder_failures': 3692, 'num_non_trivial_logical_errors': 478, 'num_total_failures': 4170, 'num_total_successes_peeling_M0': 1080, 'num_total_successes_peeling_M1': 2949, 'num_total_successes_peeling_M2': 3121, 'num_total_successes_peeling_M2_cluster': 5830, 'failure_rate_peeling_M0': 0.892, 'failure_rate_peeling_M1': 0.7051, 'failure_rate_peeling_M2': 0.6879, 'failure_rate_peeling_M2_cluster': 0.417, 'ge_backend': 'sparse', 'ge_reorder': None, 'total_decode_time': 1016.104623417843, 'mean_decode_time': 0.1016104623417843, 'total_ge_time': 0.23484684400318656, 'total_reorder_time': 0.0, 'num_ge_calls': 4698, 'mean_ge_time_per_call': 4.998868539872e-05},
{'total_trials': 10000, 'erasure_rate': 0.4000000000000001, 'num_true_decoder_failures': 5943, 'num_non_trivial_logical_errors': 320, 'num_total_failures': 6263, 'num_total_successes_peeling_M0': 559, 'num_total_successes_peeling_M1': 1617, 'num_total_successes_peeling_M2': 1724, 'num_total_successes_peeling_M2_cluster': 3737, 'failure_rate_peeling_M0': 0.9441, 'failure_rate_peeling_M1': 0.8383, 'failure_rate_peeling_M2': 0.8276, 'failure_rate_peeling_M2_cluster': 0.6263, 'ge_backend': 'sparse', 'ge_reorder': None, 'total_decode_time': 933.5536064887201, 'mean_decode_time': 0.09335536064887201, 'total_ge_time': 0.18741061426408123, 'total_reorder_time': 0.0, 'num_ge_calls': 3682, 'mean_ge_time_per_call': 5.089913478111929e-05},
